#;Name;Gold;Silver;Crystal;Ruby;Sapphire;FireRed;LeafGreen;Emerald;Colosseum;JapBonusDisc;XD;Diamond;Pearl;Platinum;HeartGold;SoulSilver;Ranch;Black;White;Black2;White2;X;Y;OmegaRuby;AlphaSapphire;Sun;Moon;UltraSun;UltraMoon;Sword;Shield;BrilliantDiamond;ShiningPearl;LegendsArceus;Scarlet;Violet
152;Chikorita;R;R;R;Ev;Ev;Ev;Ev;CCR;T;—;R;T;T;T;R;R;—;T;T;T;T;Ev;Ev;R;R;S;S;T;T;—;—;C;C;—;CD;CD
153;Bayleef;E;E;E;EvE;EvE;EvE;EvE;CCE;S;—;E;T;T;T;E;E;—;T;T;T;T;EvE;EvE;E;E;E;E;T;T;—;—;E;E;—;ED;ED
154;Meganium;E;E;E;EvE;EvE;EvE;EvE;CCE;E;—;E;T;T;T;E;E;—;T;T;T;T;Ev;Ev;E;E;E;E;T;T;—;—;E;E;—;ED;ED
155;Cyndaquil;R;R;R;Ev;Ev;Ev;Ev;CCR;T;—;R;T;T;T;R;R;—;T;T;T;T;Ev;Ev;R;R;S;S;T;T;—;—;C;C;C;CD;CD
156;Quilava;E;E;E;EvE;EvE;EvE;EvE;CCE;S;—;E;T;T;T;E;E;—;T;T;T;T;EvE;EvE;E;E;E;E;T;T;—;—;E;E;C;ED;ED
157;Typhlosion;E;E;E;Ev;Ev;Ev;Ev;CCE;E;—;E;T;T;T;E;E;—;T;T;T;T;Ev;Ev;E;E;E;E;T;T;—;—;E;E;—;ED;ED
157;"Typhlosion
(Hisuian Form)";—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;C;EVTED;EVTED
158;Totodile;R;R;R;Ev;Ev;Ev;Ev;CCR;T;—;R;T;T;T;R;R;—;T;T;T;T;Ev;Ev;R;R;S;S;T;T;—;—;C;C;—;CD;CD
159;Croconaw;E;E;E;EvE;EvE;EvE;EvE;CCE;S;—;E;T;T;T;E;E;—;T;T;T;T;EvE;EvE;E;E;E;E;T;T;—;—;E;E;—;ED;ED
160;Feraligatr;E;E;E;EvE;EvE;EvE;EvE;CCE;E;—;E;T;T;T;E;E;—;T;T;T;T;Ev;Ev;E;E;E;E;T;T;—;—;E;E;—;ED;ED
