#;Name;Ruby;Sapphire;FireRed;LeafGreen;Emerald;Colosseum;USBonusDisc;PALChannel;XD;Diamond;Pearl;Platinum;HeartGold;SoulSilver;Ranch;Black;White;Black2;White2;X;Y;OmegaRuby;AlphaSapphire;Sun;Moon;UltraSun;UltraMoon;Sword;Shield;BrilliantDiamond;ShiningPearl;LegendsArceus;Scarlet;Violet
252;Treecko;R;R;Ev;Ev;R;T;—;—;T;T;T;T;R;R;—;Ev;Ev;T;T;T;T;R;R;T;T;B;B;BD;BD;C;C;—;CD;CD
253;Grovyle;E;E;EvE;EvE;E;T;—;—;T;T;T;T;E;E;—;EvE;EvE;T;T;T;T;E;E;T;T;S;S;DA;DA;E;E;—;ED;ED
254;Sceptile;E;E;EvE;EvE;E;T;—;—;T;T;T;T;E;E;—;Ev;Ev;T;T;T;T;E;E;T;T;E;E;DA;DA;E;E;—;ED;ED
255;Torchic;R;R;Ev;Ev;R;T;—;—;T;T;T;T;R;R;—;Ev;Ev;T;T;Ev;Ev;R;R;T;T;B;B;BD;BD;C;C;—;CD;CD
256;Combusken;E;E;EvE;EvE;E;T;—;—;T;T;T;T;E;E;—;EvE;EvE;T;T;EvE;EvE;E;E;T;T;S;S;DA;DA;E;E;—;ED;ED
257;Blaziken;E;E;Ev;Ev;E;T;—;—;T;T;T;T;E;E;—;Ev;Ev;T;T;EvE;EvE;E;E;T;T;E;E;DA;DA;E;E;—;ED;ED
258;Mudkip;R;R;Ev;Ev;R;T;—;—;T;T;T;T;R;R;—;Ev;Ev;T;T;T;T;R;R;T;T;B;B;BD;BD;C;C;—;CD;CD
259;Marshtomp;E;E;EvE;EvE;E;T;—;—;T;T;T;T;E;E;—;EvE;EvE;T;T;T;T;E;E;T;T;S;S;DA;DA;E;E;—;ED;ED
260;Swampert;E;E;EvE;EvE;E;T;—;—;T;T;T;T;E;E;—;Ev;Ev;T;T;T;T;E;E;T;T;E;E;DA;DA;E;E;—;ED;ED
261;Poochyena;C;C;T;T;C;T;—;—;S;B;T;C;S;S;—;DW;S;DW;DW;B;FSB;C;C;T;T;EvB;EvB;—;—;C;C;—;CD;CD
262;Mightyena;E;E;T;T;C;T;—;—;E;C;T;E;E;E;—;DWE;E;DWE;DWE;C;FS;E;E;T;T;Ev;Ev;—;—;C;C;—;CD;CD
263;Zigzagoon;C;C;Ev;Ev;C;T;—;—;T;S;S;S;C;C;—;DW;DW;DW;DW;C;C;C;C;T;T;T;T;RD;RD;C;C;—;—;—
263;"Zigzagoon
(Galarian Form)";—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;C;C;—;—;—;—;—
264;Linoone;C;C;EvE;EvE;C;T;—;—;T;E;E;E;C;C;—;DWE;DWE;DWE;DWE;E;E;C;C;T;T;T;T;ED;ED;E;E;—;—;—
264;"Linoone
(Galarian Form)";—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;C;C;—;—;—;—;—
265;Wurmple;C;C;T;T;C;T;—;—;T;C;C;C;C;C;—;DW;C;DW;DW;FSB;FSB;C;C;T;T;T;T;—;—;C;C;C;—;—
266;Silcoon;C;C;T;T;C;T;—;—;T;C;E;C;C;C;—;DWE;E;DWE;DWE;FSB;FSB;C;C;T;T;T;T;—;—;C;E;C;—;—
267;Beautifly;E;E;T;T;E;T;—;—;T;C;C;C;C;C;—;DWE;E;DWE;DWE;FS;FS;E;E;T;T;T;T;—;—;C;C;C;—;—
268;Cascoon;C;C;T;T;C;T;—;—;T;E;C;C;C;C;—;DWE;E;DWE;DWE;FS;FS;C;C;T;T;T;T;—;—;E;C;C;—;—
269;Dustox;E;E;T;T;E;T;—;—;T;E;C;C;C;C;—;DWE;E;DWE;DWE;FSE;FSE;E;E;T;T;T;T;—;—;E;C;C;—;—
270;Lotad;Ev;C;Ev;Ev;C;T;—;—;T;D;D;D;C;C;—;DW;C;B;B;B;B;T;C;T;T;B;B;T;C;T;C;—;CD;CD
271;Lombre;EvE;C;EvE;EvE;C;T;—;—;T;D;D;D;C;C;—;DWE;E;C;C;C;C;T;C;T;T;C;C;T;C;T;C;—;CD;CD
272;Ludicolo;Ev;E;EvE;EvE;E;T;—;—;T;DE;DE;DE;E;E;—;DWE;E;E;E;E;E;T;E;T;T;E;E;T;C;T;E;—;CD;CD
273;Seedot;C;CCS;Ev;Ev;C;T;—;—;S;D;D;D;C;C;—;DW;C;CCB;CCB;FSB;FSB;C;T;T;T;B;B;C;T;C;T;—;CD;CD
274;Nuzleaf;C;CCS;EvE;EvE;C;T;—;—;E;D;D;D;C;C;—;DWE;E;CC;CC;FS;FS;C;T;T;T;C;C;C;T;C;T;—;CD;CD
275;Shiftry;E;CCE;EvE;EvE;E;T;—;—;E;DE;DE;DE;E;E;—;DWE;E;CC;CC;FSE;FSE;E;T;T;T;E;E;C;T;E;T;—;CD;CD
276;Taillow;C;C;Ev;Ev;C;T;—;—;T;B;B;B;C;C;—;B;B;B;B;C;C;C;C;T;T;B;B;—;—;B;B;—;—;—
277;Swellow;C;C;EvE;EvE;C;T;—;—;S;C;C;C;E;E;—;C;C;S;S;E;E;E;E;T;T;C;C;—;—;C;C;—;—;—
278;Wingull;C;C;T;T;C;T;—;—;T;C;C;C;S;S;—;C;C;B;B;C;C;C;C;C;C;C;C;C;C;C;C;—;C;C
279;Pelipper;C;C;T;T;C;T;—;—;T;C;C;C;E;E;—;C;C;C;C;E;E;C;C;C;C;C;C;C;C;C;C;—;C;C
280;Ralts;C;C;T;T;C;T;—;—;S;C;C;C;S;S;—;DW;C;R;R;C;C;C;C;T;T;S;S;C;C;C;C;C;C;C
281;Kirlia;E;E;T;T;E;T;—;—;E;C;C;C;E;E;—;DWE;E;E;E;E;E;E;E;T;T;E;E;C;C;C;C;C;C;C
282;Gardevoir;E;E;T;T;E;T;—;—;E;E;E;E;E;E;—;DWE;E;E;E;E;E;E;E;T;T;E;E;C;C;E;E;C;C;C
283;Surskit;C;C;Ev;Ev;CCS;T;—;—;C;S;S;C;C;C;—;DW;C;B;B;B;B;C;C;C;C;C;C;—;—;C;C;—;C;C
284;Masquerain;E;E;EvE;EvE;CCE;T;—;—;E;E;E;C;C;C;—;DWE;E;S;S;C;C;C;C;C;C;C;C;—;—;E;E;—;C;C
285;Shroomish;C;C;T;T;C;T;—;—;S;S;S;S;C;C;C;S;DW;B;B;FSB;FSB;C;C;T;T;T;T;—;—;S;S;—;C;C
286;Breloom;E;E;T;T;E;T;—;—;E;E;E;E;C;C;—;E;DWE;C;C;FS;FS;E;E;T;T;T;T;—;—;E;E;—;C;C
287;Slakoth;C;C;T;T;C;T;—;—;T;S;S;S;C;C;—;DW;C;B;B;T;T;C;C;B;B;T;T;—;—;S;S;—;C;C
288;Vigoroth;E;E;T;T;E;T;—;—;T;E;E;E;C;C;—;DWE;E;C;C;T;T;E;E;S;S;T;T;—;—;E;E;—;C;C
289;Slaking;E;E;T;T;E;T;—;—;T;E;E;E;E;E;—;DWE;E;C;C;T;T;E;E;E;E;T;T;—;—;E;E;—;C;C
290;Nincada;C;C;T;T;C;T;—;—;T;C;C;C;C;C;—;DW;DW;DW;DW;C;C;C;C;T;T;T;T;C;C;C;C;—;—;—
291;Ninjask;E;E;T;T;E;T;—;—;T;E;E;E;E;E;—;DWE;DWE;DWE;DWE;E;E;E;E;T;T;T;T;C;C;E;E;—;—;—
292;Shedinja;E;E;T;T;E;T;—;—;T;E;E;E;E;E;—;DWE;DWE;DWE;DWE;E;E;E;E;T;T;T;T;D;D;E;E;—;—;—
