#;Name;Diamond;Pearl;Platinum;HeartGold;SoulSilver;Ranger;Ranch;BattleRev;Black;White;Black2;White2;X;Y;OmegaRuby;AlphaSapphire;Sun;Moon;UltraSun;UltraMoon;Sword;Shield;BrilliantDiamond;ShiningPearl;LegendsArceus;Scarlet;Violet
387;Turtwig;R;R;R;T;T;—;—;—;Ev;Ev;EvB;EvB;T;T;R;R;T;T;B;B;—;—;C;C;C;CD;CD
388;Grotle;E;E;E;T;T;—;—;—;EvE;EvE;EvB;EvB;T;T;E;E;T;T;S;S;—;—;E;E;C;ED;ED
389;Torterra;E;E;E;T;T;—;—;—;EvE;EvE;Ev;Ev;T;T;E;E;T;T;E;E;—;—;E;E;C;ED;ED
390;Chimchar;R;R;R;Ev;Ev;—;—;—;Ev;Ev;EvB;EvB;EvB;EvB;R;R;T;T;B;B;—;—;C;C;C;CD;CD
391;Monferno;E;E;E;EvE;EvE;—;—;—;EvE;EvE;EvB;EvB;EvB;EvB;E;E;T;T;S;S;—;—;E;E;C;ED;ED
392;Infernape;E;E;E;EvE;EvE;—;—;—;EvE;EvE;Ev;Ev;Ev;Ev;E;E;T;T;E;E;—;—;E;E;C;ED;ED
393;Piplup;R;R;R;T;T;—;—;—;Ev;Ev;Ev;Ev;Ev;Ev;R;R;Ev;Ev;B;B;—;—;C;C;C;CD;CD
394;Prinplup;E;E;E;T;T;—;—;—;EvE;EvE;EvE;EvE;EvE;EvE;E;E;EvE;EvE;S;S;—;—;E;E;C;ED;ED
395;Empoleon;E;E;E;T;T;—;—;—;EvE;EvE;Ev;Ev;EvE;EvE;E;E;EvE;EvE;E;E;—;—;E;E;C;ED;ED
396;Starly;C;C;C;C;C;—;—;—;DWB;C;DWB;DWB;C;C;T;T;B;B;T;T;—;—;C;C;C;C;C
397;Staravia;C;C;C;E;E;—;C;—;DW;E;DW;DW;C;C;T;T;S;S;T;T;—;—;C;C;C;C;C
398;Staraptor;E;E;E;E;E;—;—;—;DWE;E;DWE;DWE;E;E;T;T;E;E;T;T;—;—;E;E;C;C;C
399;Bidoof;C;C;C;C;C;—;—;—;B;B;B;B;C;C;T;T;T;T;T;T;—;—;C;C;C;—;—
400;Bibarel;C;C;C;E;E;—;—;—;C;C;C;C;C;C;T;T;T;T;T;T;—;—;C;C;C;—;—
401;Kricketot;C;C;C;C;C;—;—;—;B;B;DW;DW;T;T;B;B;T;T;T;T;—;—;C;C;C;C;C
402;Kricketune;C;C;C;C;C;—;—;—;C;C;DWE;DWE;T;T;C;C;T;T;T;T;—;—;C;C;C;C;C
403;Shinx;C;C;C;C;C;—;—;—;DW;C;DW;DW;FSB;FSB;B;B;B;B;T;T;CD;CD;C;C;C;C;C
404;Luxio;C;C;C;C;C;—;—;—;DWE;E;DWE;DWE;FS;FS;C;C;S;S;T;T;CD;CD;C;C;C;C;C
405;Luxray;E;E;E;E;E;—;—;—;DWE;E;DWE;DWE;FSE;FSE;E;E;E;E;T;T;CD;CD;E;E;C;C;C
406;Budew;C;C;C;C;C;—;—;—;DWB;C;B;B;C;C;B;B;B;B;T;T;C;C;C;C;C;—;—
407;Roserade;E;E;E;E;E;—;—;—;DWE;E;C;C;E;E;E;E;E;E;T;T;C;C;E;E;C;—;—
408;Cranidos;R;T;R;T;T;—;—;—;R;R;R;R;R;R;T;R;R;T;R;R;—;—;R;T;C;CD;CCD
409;Rampardos;E;T;E;T;T;—;—;—;E;E;E;E;E;E;T;E;E;T;E;E;—;—;E;T;C;CD;CCD
410;Shieldon;T;R;R;T;T;—;—;—;R;R;R;R;R;R;R;T;T;R;R;R;—;—;T;R;C;CCD;CD
411;Bastiodon;T;E;E;T;T;—;—;—;E;E;E;E;E;E;E;T;T;E;E;E;—;—;T;E;C;CCD;CD
412;Burmy;C;C;C;C;C;—;—;—;DW;DW;DW;DW;C;C;T;T;T;T;T;T;—;—;C;C;C;—;—
413;Wormadam;E;E;E;E;E;—;—;—;DWE;DWE;DWE;DWE;E;E;T;T;T;T;T;T;—;—;E;E;C;—;—
414;Mothim;E;E;E;E;E;—;—;—;DWE;DWE;DWE;DWE;E;E;T;T;T;T;T;T;—;—;E;E;C;—;—
415;Combee;C;C;C;C;C;—;C;—;C;C;C;C;C;C;T;T;T;T;T;T;C;C;C;C;C;C;C
416;Vespiquen;E;E;E;E;E;—;—;—;C;C;C;C;E;E;T;T;T;T;T;T;C;C;E;E;C;C;C
417;Pachirisu;C;C;C;C;C;—;C;—;DW;DW;C;C;C;C;Ev;Ev;T;T;T;T;—;—;C;C;C;C;C
418;Buizel;C;C;C;C;C;—;—;—;C;C;C;C;B;B;T;T;T;T;B;B;—;—;C;C;C;C;C
419;Floatzel;C;C;C;C;C;—;—;—;C;C;C;C;C;C;T;T;T;T;C;C;—;—;C;C;C;C;C
420;Cherubi;C;C;C;C;C;—;—;—;B;B;DW;DW;T;T;B;B;T;T;T;T;C;C;C;C;C;—;—
421;Cherrim;E;E;E;E;E;—;—;—;C;C;DWE;DWE;T;T;C;C;T;T;T;T;D;D;E;E;C;—;—
422;Shellos (West);C;C;C;PW;PW;—;—;—;DW;DW;R;R;FSB;FSB;C;T;T;T;R;R;T;T;C;C;C;C;C
422;Shellos (East);C;C;C;T;T;—;C;—;DW;DW;R;R;T;T;T;C;B;B;B;B;C;C;C;C;C;C;C
423;Gastrodon (West);C;C;C;PWE;PWE;—;—;—;DWE;DWE;E;E;FS;FS;E;T;T;T;E;E;T;T;C;C;C;C;C
423;Gastrodon (East);C;C;C;T;T;—;—;—;DWE;DWE;E;E;T;T;T;E;C;C;C;C;C;C;C;C;C;C;C
424;Ambipom;E;E;E;E;E;—;—;—;DWE;DWE;R;R;FSE;FSE;E;E;T;T;C;C;—;—;E;E;C;CCD;CD
425;Drifloon;C;C;C;T;T;—;—;—;B;B;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;CC
426;Drifblim;E;E;E;T;T;—;—;—;C;C;C;C;E;E;E;E;C;C;E;E;C;C;E;E;C;C;CC
427;Buneary;C;C;C;S;S;—;C;—;DW;DW;C;DW;T;T;C;C;T;T;C;C;CD;CD;C;C;C;—;—
428;Lopunny;E;E;E;E;E;—;—;—;DWE;DWE;C;DWE;T;T;E;E;T;T;C;C;CD;CD;E;E;C;—;—
429;Mismagius;T;E;T;E;E;—;—;—;DWE;C;DWE;DWE;T;T;E;E;C;C;E;E;—;—;T;E;C;CC;C
430;Honchkrow;E;T;T;E;E;—;—;—;C;DWE;E;E;E;E;E;E;E;E;C;C;—;—;E;T;C;C;C
431;Glameow;T;C;T;T;T;—;—;—;DW;DW;CC;C;T;T;C;C;T;T;T;T;—;—;T;C;C;—;—
432;Purugly;T;C;T;T;T;—;—;—;DWE;DWE;CCE;E;T;T;C;C;T;T;T;T;—;—;T;C;C;—;—
433;Chingling;C;C;C;C;C;—;—;—;B;B;DWB;DWB;C;C;B;B;T;T;T;T;—;—;C;C;C;CD;CD
434;Stunky;C;T;T;T;T;—;—;—;DW;DW;C;CC;C;C;T;T;T;T;T;T;C;C;C;T;C;C;CC
435;Skuntank;C;T;T;T;T;—;—;—;DWE;DWE;E;CCE;E;E;T;T;T;T;T;T;C;C;C;T;C;C;CC
436;Bronzor;C;C;C;C;C;—;—;—;B;B;C;C;FSB;FSB;C;C;T;T;T;T;C;C;C;C;C;C;C
437;Bronzong;C;C;C;C;C;—;—;—;C;C;C;C;FS;FS;E;E;T;T;T;T;C;C;C;C;C;C;C
