#;Name;X;Y;OmegaRuby;AlphaSapphire;Sun;Moon;UltraSun;UltraMoon;Sword;Shield;LegendsArceus;Scarlet;Violet
650;Chespin;R;R;T;T;T;T;B;B;—;—;—;CD;CD
651;Quilladin;E;E;T;T;T;T;B;B;—;—;—;ED;ED
652;Chesnaught;E;E;T;T;T;T;S;S;—;—;—;ED;ED
653;Fennekin;R;R;Ev;Ev;T;T;B;B;—;—;—;CD;CD
654;Braixen;E;E;EvE;EvE;T;T;B;B;—;—;—;ED;ED
655;Delphox;E;E;EvE;EvE;T;T;S;S;—;—;—;ED;ED
656;Froakie;R;R;Ev;Ev;T;T;B;B;—;—;—;CD;CD
657;Frogadier;E;E;EvE;EvE;T;T;B;B;—;—;—;ED;ED
658;Greninja;E;E;Ev;Ev;Ev;Ev;S;S;—;—;—;ED;ED
659;Bunnelby;C;C;T;T;T;T;T;T;C;C;—;—;—
660;Diggersby;C;C;T;T;T;T;T;T;C;C;—;—;—
661;Fletchling;C;C;T;T;C;C;C;C;CD;CD;—;C;C
662;Fletchinder;E;E;T;T;C;C;C;C;CD;CD;—;C;C
663;Talonflame;E;E;T;T;R;R;E;E;CD;CD;—;C;C
664;Scatterbug;C;C;T;T;T;T;S;S;—;—;—;C;C
665;Spewpa;C;C;T;T;T;T;E;E;—;—;—;C;C
666;Vivillon;E;E;Ev;Ev;T;T;E;E;—;—;—;C;C
667;Litleo;C;C;T;T;T;T;C;C;—;—;—;C;C
668;Pyroar;E;E;T;T;T;T;C;C;—;—;—;C;C
669;Flabébé;C;C;T;T;T;T;C;C;—;—;—;C;C
670;Floette;E;E;T;T;T;T;C;C;—;—;—;C;C
671;Florges;E;E;T;T;T;T;E;E;—;—;—;C;C
672;Skiddo;C;C;T;T;T;T;T;T;—;—;—;C;C
673;Gogoat;E;E;T;T;T;T;T;T;—;—;—;C;C
674;Pancham;C;C;Ev;Ev;C;C;C;C;C;C;—;—;—
675;Pangoro;E;E;EvE;EvE;C;C;C;C;C;C;—;—;—
676;Furfrou;C;C;T;T;T;T;C;C;—;—;—;—;—
677;Espurr;C;C;T;T;T;T;T;T;C;C;—;CD;CD
678;Meowstic;E;E;T;T;T;T;T;T;C;C;—;CD;CD
679;Honedge;C;C;T;T;S;S;S;S;C;C;—;—;—
680;Doublade;E;E;T;T;E;E;E;E;C;C;—;—;—
681;Aegislash;E;E;T;T;E;E;E;E;C;C;—;—;—
682;Spritzee;FS;C;EvB;T;T;T;T;T;T;C;—;—;—
683;Aromatisse;FSET;ET;Ev;T;T;T;T;T;T;D;—;—;—
684;Swirlix;C;FS;T;T;T;T;T;T;C;T;—;—;—
685;Slurpuff;ET;FSET;T;T;T;T;T;T;D;T;—;—;—
686;Inkay;C;C;EvB;T;T;T;C;C;C;C;—;CD;CD
687;Malamar;E;E;Ev;T;T;T;E;E;D;D;—;CD;CD
688;Binacle;C;C;C;C;T;T;B;B;C;C;—;—;—
689;Barbaracle;E;E;E;E;T;T;C;C;C;C;—;—;—
690;Skrelp;T;C;C;T;T;T;T;B;T;CD;—;C;CC
691;Dragalge;T;C;E;T;T;T;T;C;T;CD;—;C;CC
692;Clauncher;C;T;T;C;T;T;B;T;CD;T;—;CC;C
693;Clawitzer;C;T;T;E;T;T;C;T;CD;T;—;CC;C
694;Helioptile;C;C;T;T;T;T;B;B;C;C;—;—;—
695;Heliolisk;E;E;T;T;T;T;C;C;D;D;—;—;—
696;Tyrunt;R;R;Ev;Ev;T;T;R;R;CD;CD;—;—;—
697;Tyrantrum;E;E;EvE;EvE;T;T;E;E;CD;CD;—;—;—
698;Amaura;R;R;Ev;Ev;T;T;R;R;CD;CD;—;—;—
699;Aurorus;E;E;EvE;EvE;T;T;E;E;CD;CD;—;—;—
700;Sylveon;E;E;E;E;E;E;E;E;C;C;C;C;C
701;Hawlucha;C;C;T;T;T;T;C;C;C;C;—;C;C
702;Dedenne;C;C;T;T;T;T;C;C;CD;CD;—;C;C
703;Carbink;C;C;T;T;C;C;C;C;CD;CD;—;CD;CD
704;Goomy;C;C;T;T;C;C;C;C;T;C;C;C;C
705;Sliggoo;C;C;T;T;C;C;C;C;T;C;—;C;C
705;"Sliggoo
(Hisuian Form)";—;—;—;—;—;—;—;—;—;—;C;TE;TE
706;Goodra;E;E;T;T;E;E;E;E;T;D;—;C;C
706;"Goodra
(Hisuian Form)";—;—;—;—;—;—;—;—;—;—;C;TE;TE
707;Klefki;C;C;C;C;C;C;C;C;CD;CD;—;C;C
708;Phantump;C;C;C;C;C;C;C;C;C;C;—;CD;CD
709;Trevenant;C;C;ET;ET;C;C;R;R;D;D;—;CD;CD
710;Pumpkaboo;C;C;Ev;Ev;T;T;T;T;C;C;—;—;—
711;Gourgeist;ET;ET;EvET;EvET;T;T;T;T;C;C;—;—;—
712;Bergmite;C;C;T;T;T;T;T;T;C;C;C;C;C
713;Avalugg;E;E;T;T;T;T;T;T;C;C;—;C;C
713;"Avalugg
(Hisuian Form)";—;—;—;—;—;—;—;—;—;—;C;TE;TE
714;Noibat;C;C;T;T;T;T;C;C;C;C;—;C;C
715;Noivern;E;E;T;T;T;T;C;C;C;C;—;C;C
716;Xerneas;C;Ev;Ev;Ev;T;Ev;C;Ev;DA;CCDA;—;—;—
717;Yveltal;Ev;C;Ev;Ev;Ev;T;Ev;C;CCDA;DA;—;—;—
718;Zygarde;C;C;Ev;Ev;R;R;C;C;DA;DA;—;—;—
719;Diancie;Ev;Ev;Ev;Ev;T;T;T;T;T;T;—;T;T
720;Hoopa;Ev;Ev;Ev;Ev;Ev;Ev;Ev;Ev;—;—;—;T;T
721;Volcanion;Ev;Ev;Ev;Ev;T;T;T;T;Ev;Ev;—;T;T
