#;Name;Sun;Moon;UltraSun;UltraMoon;LetsGoPikachu;LetsGoEevee;Sword;Shield;LegendsArceus;Scarlet;Violet
722;Rowlet;R;R;R;R;—;—;RD;RD;C;CD;CD
723;Dartrix;E;E;E;E;—;—;ED;ED;C;ED;ED
724;Decidueye;E;E;E;E;—;—;ED;ED;—;ED;ED
724;"Decidueye
(Hisuian Form)";—;—;—;—;—;—;—;—;C;EVTED;EVTED
725;Litten;R;R;R;R;—;—;RD;RD;—;CD;CD
726;Torracat;E;E;E;E;—;—;ED;ED;—;ED;ED
727;Incineroar;E;E;E;E;—;—;ED;ED;—;ED;ED
728;Popplio;R;R;R;R;—;—;RD;RD;—;CD;CD
729;Brionne;E;E;E;E;—;—;ED;ED;—;ED;ED
730;Primarina;E;E;E;E;—;—;ED;ED;—;ED;ED
731;Pikipek;C;C;C;C;—;—;—;—;—;CD;CD
732;Trumbeak;C;C;C;C;—;—;—;—;—;CD;CD
733;Toucannon;E;E;C;C;—;—;—;—;—;CD;CD
734;Yungoos;C;C;C;C;—;—;—;—;—;C;C
735;Gumshoos;C;C;C;C;—;—;—;—;—;C;C
736;Grubbin;C;C;C;C;—;—;C;C;—;CD;CD
737;Charjabug;C;C;C;C;—;—;C;C;—;CD;CD
738;Vikavolt;E;E;C;C;—;—;C;C;—;CD;CD
739;Crabrawler;C;C;C;C;—;—;—;—;—;C;C
740;Crabominable;E;E;E;E;—;—;—;—;—;C;C
741;Oricorio;C;C;C;C;—;—;—;—;—;C;C
742;Cutiefly;C;C;C;C;—;—;C;C;—;CD;CD
743;Ribombee;C;C;C;C;—;—;C;C;—;CD;CD
744;Rockruff;C;C;C;C;—;—;CD;CD;—;C;C
745;Lycanroc;C;C;C;C;—;—;CD;CD;—;C;C
746;Wishiwashi;C;C;C;C;—;—;C;C;—;—;—
747;Mareanie;C;C;C;C;—;—;C;C;—;C;C
748;Toxapex;E;E;E;E;—;—;C;C;—;C;C
749;Mudbray;C;C;C;C;—;—;C;C;—;C;C
750;Mudsdale;C;C;C;C;—;—;C;C;—;C;C
751;Dewpider;C;C;C;C;—;—;C;C;—;CD;CD
752;Araquanid;C;C;C;C;—;—;C;C;—;CD;CD
753;Fomantis;C;C;C;C;—;—;CD;CD;—;C;C
