#;Name;Sword;Shield;LegendsArceus;Scarlet;Violet
810;Grookey;R;R;—;CD;CD
811;Thwackey;E;E;—;ED;ED
812;Rillaboom;E;E;—;ED;ED
813;Scorbunny;R;R;—;CD;CD
814;Raboot;E;E;—;ED;ED
815;Cinderace;E;E;—;ED;ED
816;Sobble;R;R;—;CD;CD
817;Drizzile;E;E;—;ED;ED
818;Inteleon;E;E;—;ED;ED
819;Skwovet;C;C;—;C;C
820;Greedent;C;C;—;C;C
821;Rookidee;C;C;—;C;C
822;Corvisquire;C;C;—;C;C
823;Corviknight;C;C;—;C;C
824;Blipbug;C;C;—;—;—
825;Dottler;C;C;—;—;—
826;Orbeetle;C;C;—;—;—
827;Nickit;C;C;—;—;—
828;Thievul;C;C;—;—;—
829;Gossifleur;C;C;—;—;—
830;Eldegoss;C;C;—;—;—
831;Wooloo;C;C;—;—;—
832;Dubwool;C;C;—;—;—
833;Chewtle;C;C;—;C;C
834;Drednaw;C;C;—;C;C
835;Yamper;C;C;—;—;—
836;Boltund;C;C;—;—;—
837;Rolycoly;C;C;—;C;C
838;Carkol;C;C;—;C;C
839;Coalossal;C;C;—;C;C
840;Applin;C;C;—;C;C
841;Flapple;D;T;—;C;C
842;Appletun;T;D;—;C;C
843;Silicobra;C;C;—;C;C
844;Sandaconda;C;C;—;C;C
845;Cramorant;C;C;—;CD;CCD
846;Arrokuda;C;C;—;C;C
847;Barraskewda;C;C;—;C;C
848;Toxel;C;C;—;C;C
849;Toxtricity;D;D;—;C;C
850;Sizzlipede;C;C;—;—;—
851;Centiskorch;D;D;—;—;—
852;Clobbopus;C;C;—;—;—
853;Grapploct;C;C;—;—;—
854;Sinistea;C;C;—;C;C
855;Polteageist;D;D;—;C;C
856;Hatenna;C;C;—;C;C
857;Hattrem;C;C;—;C;C
858;Hatterene;C;C;—;C;C
859;Impidimp;C;C;—;C;C
860;Morgrem;C;C;—;C;C
861;Grimmsnarl;C;C;—;C;C
862;Obstagoon;C;C;—;—;—
863;Perrserker;C;C;—;E;E
864;Cursola;T;D;—;—;—
865;Sirfetch'd;D;T;—;—;—
866;Mr. Rime;D;D;—;—;—
867;Runerigus;D;D;—;—;—
868;Milcery;C;C;—;CD;CD
869;Alcremie;D;D;—;CD;CD
870;Falinks;C;C;—;C;C
871;Pincurchin;C;C;—;C;C
872;Snom;C;C;—;C;C
873;Frosmoth;D;D;—;C;C
874;Stonjourner;C;T;—;C;CC
875;Eiscue;T;C;—;CC;C
876;Indeedee;C;C;—;C;C
877;Morpeko;C;C;—;CCD;CD
878;Cufant;C;C;—;C;C
879;Copperajah;C;C;—;C;C
880;Dracozolt;R;R;—;—;—
881;Arctozolt;R;R;—;—;—
882;Dracovish;R;R;—;—;—
883;Arctovish;R;R;—;—;—
884;Duraludon;C;C;—;CD;CD
885;Dreepy;C;C;—;CC;C
886;Drakloak;C;C;—;CC;C
887;Dragapult;D;D;—;CC;C
888;Zacian;C;T;—;T;T
889;Zamazenta;T;C;—;T;T
890;Eternatus;C;C;—;T;T
891;Kubfu;RD;RD;—;CD;CD
892;Urshifu;ED;ED;—;ED;ED
893;Zarude;Ev;Ev;—;T;T
894;Regieleki;CD;CD;—;T;T
895;Regidrago;CD;CD;—;T;T
896;Glastrier;CD;CD;—;CD;CCD
897;Spectrier;CD;CD;—;CCD;CD
898;Calyrex;CD;CD;—;T;T
899;Wyrdeer;—;—;C;TE;TE
900;Kleavor;—;—;C;CD;CD
901;Ursaluna;—;—;C;TE;TE
901;"Ursaluna
(Bloodmoon)";—;—;—;CD;CD
902;Basculegion;—;—;C;CD;CD
903;Sneasler;—;—;C;T;T
904;Overqwil;—;—;C;CD;CD
905;Enamorus;—;—;C;T;T
